ROI,ID,subROI,ROI_x1,ROI_y1,ROI_x2,ROI_y2,Angle,Analysis Method,Lower Threshold,Maximum,Centre,Upper Threshold,image path
0,0,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,218,214.0,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,186,204,197.0,208,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,206,231,221.96774193548387,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,223,217.5,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,198,219,214.5,231,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,214,212.5,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,206,209.5,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,210,209.0,227,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,188,213,206.0,224,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,180,195,200.0,220,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,1,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,218,214.0,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,186,201,197.0,208,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,204,232,221.90322580645162,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,225,217.5,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,197,219,214.0,231,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,214,213.0,227,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,190,208,209.5,229,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,204,209.5,227,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,188,212,206.0,224,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,180,196,200.5,221,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,2,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,219,213.95833333333334,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-002026.png
0,2,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,188,201,197.5,207,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-002026.png
0,2,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,206,231,222.46875,238,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-002026.png
0,2,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,201,222,217.0,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-002026.png
0,2,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,198,220,214.0,230,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-002026.png
0,2,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,214,213.53333333333333,229,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-002026.png
